Date,Symbol,Adj Close,Close,High,Low,Open,Volume
7/24/2019,FFIV,148.6699982,148.6699982,148.7599945,146.9299927,147.8300018,945500
7/25/2019,FFIV,147.6900024,147.6900024,149.1399994,142.3200073,146.0200043,2056300
7/26/2019,FFIV,153.8099976,153.8099976,153.9900055,147.6000061,148.2200012,1241500
7/29/2019,FFIV,152.25,152.25,153.5200043,150.0200043,153.3500061,778900
7/30/2019,FFIV,149.8800049,149.8800049,151.5399933,148.9900055,151.0200043,548800
7/31/2019,FFIV,146.7200012,146.7200012,150.2700043,146.0399933,150.2700043,727000
8/1/2019,FFIV,144.7599945,144.7599945,149.7200012,144.4499969,146.7100067,846500
8/2/2019,FFIV,139.0399933,139.0399933,143.0099945,138.1600037,142.7299957,836900
8/5/2019,FFIV,134.6100006,134.6100006,137.1999969,133.5800018,136.6900024,679000
8/6/2019,FFIV,136.1199951,136.1199951,136.2700043,133.1499939,135.9400024,810300
8/7/2019,FFIV,134,134,135.2100067,131.3200073,133.6999969,703800
8/8/2019,FFIV,137.4100037,137.4100037,137.9100037,135.1699982,135.6900024,655700
8/9/2019,FFIV,133.4400024,133.4400024,136.5800018,133.1399994,136.4299927,679100
8/12/2019,FFIV,130.4799957,130.4799957,133.0700073,130.25,133.0700073,591700
8/13/2019,FFIV,131.6100006,131.6100006,133.75,129.1600037,129.5399933,612300
8/14/2019,FFIV,127.6299973,127.6299973,129.6900024,125.3499985,129.6900024,928000
8/15/2019,FFIV,126.1699982,126.1699982,127.4199982,125.2200012,127.1900024,652300
8/16/2019,FFIV,128.7400055,128.7400055,129.4499969,126.4800034,126.9700012,615000
8/19/2019,FFIV,129.6799927,129.6799927,132.3099976,129.6000061,131.0200043,579100
8/20/2019,FFIV,127.1200027,127.1200027,129.4100037,126.6500015,129.4100037,568400
8/21/2019,FFIV,129.3800049,129.3800049,130.5200043,127.6600037,128.7100067,415600
8/22/2019,FFIV,129.3500061,129.3500061,130.3099976,128.8399963,129.8699951,448900
8/23/2019,FFIV,124.3899994,124.3899994,129.4799957,123.9100037,129,733000
8/26/2019,FFIV,125.1399994,125.1399994,126.1200027,124.25,126.1200027,485700
8/27/2019,FFIV,122.0699997,122.0699997,126.2799988,121.8000031,126.0800018,916500
8/28/2019,FFIV,124.2099991,124.2099991,124.5899963,121.3600006,122.0699997,693400
8/29/2019,FFIV,128.1199951,128.1199951,129.3500061,126.0599976,126.0599976,760900
8/30/2019,FFIV,128.7299957,128.7299957,129.2299957,127.7300034,128.6100006,551200
9/3/2019,FFIV,128.0800018,128.0800018,128.6399994,126.7099991,127.6999969,801500
9/4/2019,FFIV,127.8700027,127.8700027,130.3999939,126.5100021,130.0800018,806800
9/5/2019,FFIV,131.2700043,131.2700043,132.8399963,128.2400055,130.2299957,737400
9/6/2019,FFIV,132.9600067,132.9600067,133.2200012,131.1300049,131.8999939,486700
9/9/2019,FFIV,134.7299957,134.7299957,136.7100067,133.8600006,136.3500061,773000
9/10/2019,FFIV,140.8800049,140.8800049,140.9499969,134.1000061,134.9100037,686400
9/11/2019,FFIV,142.3200073,142.3200073,142.5899963,139.4100037,141.1399994,506900
9/12/2019,FFIV,141.2899933,141.2899933,142.9900055,139.8800049,142.4299927,458900
9/13/2019,FFIV,139.8300018,139.8300018,142.3300018,139.6999969,141.0099945,406900
9/16/2019,FFIV,140.6100006,140.6100006,141.5200043,139.3600006,139.3600006,412700
9/17/2019,FFIV,139.0299988,139.0299988,140.0899963,135.75,139.5500031,481100
9/18/2019,FFIV,138.7700043,138.7700043,140,137.5399933,138.7100067,517100
9/19/2019,FFIV,138.1999969,138.1999969,140.1300049,137.8000031,139.0299988,447300
9/20/2019,FFIV,137.1399994,137.1399994,139.0800018,136.5899963,138.6300049,666000
9/23/2019,FFIV,139.0599976,139.0599976,139.3200073,136.5399933,136.5399933,733500
9/24/2019,FFIV,137.6799927,137.6799927,139.7400055,136.9400024,139.6100006,400900
9/25/2019,FFIV,140.1799927,140.1799927,140.3999939,137.6199951,137.6900024,472200
9/26/2019,FFIV,139.7400055,139.7400055,140.0899963,138.0299988,140.0899963,322900
9/27/2019,FFIV,139.7100067,139.7100067,141.8300018,139.1199951,140.0800018,348100
9/30/2019,FFIV,140.4199982,140.4199982,141.1699982,139.4700012,140.5,407000
10/1/2019,FFIV,135.6199951,135.6199951,141.8800049,132.9900055,140.6999969,907300
10/2/2019,FFIV,132.0800018,132.0800018,134.4600067,131.5899963,134.0099945,562400
10/3/2019,FFIV,132.8399963,132.8399963,133.4600067,129.0200043,131.9799957,698000
10/4/2019,FFIV,132.9600067,132.9600067,134.5899963,131.3699951,133.7700043,735000
10/7/2019,FFIV,133.3000031,133.3000031,134.3099976,131.0099945,133.0099945,604500
10/8/2019,FFIV,129.9700012,129.9700012,131.9700012,129.5800018,131.9700012,484800
10/9/2019,FFIV,131.9499969,131.9499969,132.6699982,130.25,131.6199951,378400
10/10/2019,FFIV,132.4499969,132.4499969,133.8200073,128.5099945,131.4600067,354600
10/11/2019,FFIV,135.6699982,135.6699982,138.2599945,134.2100067,134.7400055,530000
10/14/2019,FFIV,135.3999939,135.3999939,136.0399933,133.9400024,135.25,289400
10/15/2019,FFIV,135.3999939,135.3999939,136.8699951,134.6300049,135.3899994,472200
10/16/2019,FFIV,136.3099976,136.3099976,136.6300049,134.5700073,135.7299957,580800
10/17/2019,FFIV,137.1699982,137.1699982,137.75,135.9900055,136.8600006,308200
10/18/2019,FFIV,137.6900024,137.6900024,138.0399933,136.0200043,137.1300049,490700
10/21/2019,FFIV,137.8399963,137.8399963,139.4799957,137.7700043,138.6499939,557700
10/22/2019,FFIV,139.1000061,139.1000061,140.4400024,137.8399963,138.6600037,468200
10/23/2019,FFIV,138.3200073,138.3200073,139.4400024,137.3099976,138.6699982,807800
10/24/2019,FFIV,145.9400024,145.9400024,153,145.8600006,150,2154200
10/25/2019,FFIV,143.5500031,143.5500031,146.6100006,141.6499939,144.5599976,1186400
10/28/2019,FFIV,143.0299988,143.0299988,145.5599976,142.1600037,144.25,411300
10/29/2019,FFIV,143.5299988,143.5299988,143.6900024,141.0399933,141.6799927,498500
10/30/2019,FFIV,143.7700043,143.7700043,144.4299927,140.5800018,143.9700012,650400
10/31/2019,FFIV,144.0800018,144.0800018,144.6799927,142.4499969,143.1000061,557900
11/1/2019,FFIV,146.1000061,146.1000061,146.3500061,143.0299988,143.5500031,536900
11/4/2019,FFIV,146.4299927,146.4299927,148.3699951,145.6300049,145.7100067,585800
11/5/2019,FFIV,146.3800049,146.3800049,147.4299927,145.9600067,146.4799957,552000
11/6/2019,FFIV,147.9100037,147.9100037,149.75,144.5399933,146.3099976,786200
11/7/2019,FFIV,147.6199951,147.6199951,149.5099945,147.25,148.5800018,536500
11/8/2019,FFIV,148.4100037,148.4100037,148.7599945,147.0599976,147.8999939,361200
11/11/2019,FFIV,147.6900024,147.6900024,148.1399994,146.2599945,147.2100067,260900
11/12/2019,FFIV,146.4100037,146.4100037,147.5,145.5500031,147.5,368300
11/13/2019,FFIV,146.2899933,146.2899933,147.2700043,144.9499969,145.8699951,343200
11/14/2019,FFIV,144.3099976,144.3099976,145.3399963,142.7700043,144.5299988,420400
11/15/2019,FFIV,145.4600067,145.4600067,145.7299957,143.5399933,144.5700073,325000
11/18/2019,FFIV,143.7700043,143.7700043,144.9900055,142.7200012,144.9900055,525700
11/19/2019,FFIV,144.2899933,144.2899933,145,143.1100006,145,401600
